V,n,s,Ca
-64.04153178581731,0.512984501973613,1.008170036068498,0.0510972127913013
-73.61876556736516,0.1144830388331164,1.0068273964035985,0.04978350080692747
-72.65735541951835,0.025572142436521658,1.0054798303652797,0.04849595960819045
-71.97403425599285,0.0057395343563660705,1.0041469876141254,0.04737369545839977
-71.65361346467766,0.0013174313099790817,1.002823839406665,0.04637019834813772
-71.53427942849187,0.00033202160819584395,1.001505995037577,0.045446733075253626
-71.49398077696036,0.00011260156372058565,1.0001913144371255,0.04458328027111558
-71.47964321499153,6.379578194141747e-05,0.998879010165561,0.0437707997071257
-71.47301668058041,5.296727369527705e-05,0.9975688316774703,0.043004658817445834
-71.46854673274444,5.058604129064929e-05,0.9962607042203809,0.0422817598578166
-71.46465678609432,5.0083210170313805e-05,0.9949546050366047,0.04159955492112308
-71.46091782414358,4.99974771489914e-05,0.9936505258692033,0.04095574304199651
-71.45721618249607,5.000395940607098e-05,0.9923484623654267,0.04034817964977258
-71.45352231879058,5.003077761405303e-05,0.9910484112029345,0.03977484688879451
-71.44982879812112,5.0062513067608936e-05,0.989750369330948,0.03923384068116466
-71.44613363183825,5.0095265129614864e-05,0.9884543337683805,0.038723363516928726
-71.44243632951716,5.0128293982961806e-05,0.9871603015566064,0.03824171796225814
-71.4387367639426,5.0161397262585576e-05,0.9858682697457501,0.0377873011082307
-71.43503490864153,5.019453457168304e-05,0.9845782353916025,0.037358599415189486
-71.43133077336653,5.0227560584713644e-05,0.9832901955545881,0.036954181418748545
-71.42762442001882,5.026028409722502e-05,0.9820041473002558,0.036572697173606346
-71.42391558008401,5.029412212160137e-05,0.9807200876956423,0.036212875782670496
-71.42020453866567,5.032757325379505e-05,0.9794380138169448,0.03587351023680534
-71.4164912208942,5.0360955376892986e-05,0.9781579227415323,0.03555346353267261
-71.4127756108067,5.039436993223437e-05,0.9768798115310675,0.03525165461661087
-71.4090577124248,5.042782351171918e-05,0.9756036773511028,0.03496709830086061
-71.4053375315472,5.046131459236175e-05,0.9743295171981786,0.03469880151488193
-71.40161506678557,5.049485069274451e-05,0.9730573282049798,0.03444587448313529
-71.39789031110045,5.052844055037675e-05,0.9717871074709592,0.034207457971253206
-71.39416325974575,5.056208202947152e-05,0.9705188521006849,0.033982747882103495
-71.390433907856,5.059576917898068e-05,0.9692525592027428,0.03377098242000367
-71.38670225244512,5.0629483918613385e-05,0.9679882258900548,0.033571441201787545
-71.38296836440402,5.066320790253992e-05,0.9667258492810777,0.033383449155038006
-71.37923233260649,5.069699768799388e-05,0.9654654264983937,0.033206362558656076
-71.37549395517232,5.073083466627366e-05,0.9642069546657452,0.03303957472767158
-71.37175326532811,5.0764716684135205e-05,0.9629504309117389,0.03288251290288868
-71.36801030956724,5.079864277891765e-05,0.9616958523606626,0.03273463480727638
-71.3642650854509,5.083261224743586e-05,0.9604432162154077,0.032595442209565534
-71.36051759406082,5.08666247815988e-05,0.959192519532373,0.032464436330268506
-71.35676784019593,5.0900680699172854e-05,0.9579437594949716,0.0323411684639641
-71.35301582629614,5.093478064446138e-05,0.9566969332550405,0.03222520873433754
-71.34926154858371,5.0968924504110905e-05,0.9554520379685995,0.03211615095129157
-71.34550500396665,5.100311106104669e-05,0.9542090707959898,0.032013611840316474
-71.34174620372917,5.103734024124882e-05,0.952968028464278,0.03191717778538616
-71.33798515856722,5.1071612526062e-05,0.9517289094553067,0.03182666126947745
-71.33422184965572,5.110593080947513e-05,0.9504917095983951,0.0317415809401353
-71.33045628916904,5.11402919020686e-05,0.949256426554024,0.03166168912294008
-71.32668847648272,5.117469646216416e-05,0.948023057498714,0.03158669797353008
-71.32291841058372,5.120914463149845e-05,0.9467915996816831,0.03151634119473851
