V,n,s,Ca
-65.81195490665546,0.45871092650098805,0.9733842015601651,0.049897496649312686
-73.3972671106748,0.10237446353659667,0.9720951554916343,0.04857730161224124
-72.41455440496811,0.022871816212606377,0.9708030199038723,0.04729970811110279
-71.71993002630482,0.005138613896381299,0.9695260330347131,0.04619504065547454
-71.39175787812265,0.0011851031594090934,0.9682589468725912,0.04521372761043797
-71.26610967612363,0.0003043499839544501,0.9669972644627057,0.04431518745675647
-71.22207923629756,0.00010833521466215264,0.9657387692241385,0.04347823852084791
-71.20597282725831,6.477659890963889e-05,0.9644826188393069,0.04269311337800245
-71.19858394210432,5.5129722045006976e-05,0.9632285333751976,0.04195476769621824
-71.19377223698365,5.301734862127597e-05,0.9619764253459056,0.041259870351643496
-71.1896963784408,5.2577564098593996e-05,0.9607262672082042,0.040605725462480015
-71.18582505514202,5.250826725001908e-05,0.959478049107373,0.03998992366310182
-71.18200860776187,5.252059944411664e-05,0.9582317662428527,0.03941023240645406
-71.1782055615971,5.255085181321701e-05,0.9569874152315252,0.038864558763985764
-71.17440474175768,5.258542126253857e-05,0.955744993086975,0.03835093340456792
-71.1706029995344,5.262087901196735e-05,0.9545044969302517,0.037867501936166344
-71.16679949288448,5.265658209352619e-05,0.9532659239163752,0.03741251747262005
-71.16299399223134,5.269235520714723e-05,0.952029271212439,0.03698433437245649
-71.15918643917182,5.2728163985256994e-05,0.950794535992008,0.03658140244896345
-71.15537684333229,5.2763878402136086e-05,0.9495617154335438,0.036202259030902094
-71.15156528343796,5.279932629549226e-05,0.9483308067207155,0.03584552809380067
-71.14775142920352,5.2835780465933416e-05,0.9471018070370902,0.035509917518272566
-71.1439356050806,5.287189341033896e-05,0.9458747135771832,0.03519420265016683
-71.14011774045078,5.290795005316374e-05,0.944649523535608,0.03489723280616687
-71.13629781737065,5.294404142068775e-05,0.9434262340919086,0.03461791654515874
-71.1324758379114,5.298017348069319e-05,0.9422048425253732,0.034355261634182704
-71.12865180636669,5.3016344886929056e-05,0.9409853459530617,0.03410827003145643
-71.1248257226445,5.3052562369403927e-05,0.9397677416227298,0.03387604995015611
-71.1209975830946,5.3088833777655585e-05,0.9385520267502463,0.0336577419380212
-71.11716738632371,5.312515732746789e-05,0.9373381985563838,0.03345254389265504
-71.11333513146948,5.31615279193544e-05,0.9361262542657727,0.0332596976604871
-71.10950082003161,5.319792994837699e-05,0.9349161911072089,0.033078487944931116
-71.10566449221037,5.323434577167012e-05,0.9337080063144505,0.032908246336511016
-71.10182619004159,5.3270822605327845e-05,0.9325016971250167,0.032748336586930125
-71.0979858109049,5.3307349130773455e-05,0.9312972607789856,0.03259816060389374
-71.09414337340651,5.3343922956859886e-05,0.9300946945199853,0.032457155107398564
-71.09029890311432,5.3380541803994736e-05,0.9288939955874205,0.03232478808120883
-71.08645239983498,5.3417205269299354e-05,0.9276951612963701,0.032200571910638756
-71.08260386548815,5.345391319637804e-05,0.9264981888212734,0.03208401948287828
-71.07875330387348,5.349066573522753e-05,0.9253030754584622,0.03197469375758146
-71.0749007173325,5.3527463228694895e-05,0.9241098184739539,0.03187217700337114
-71.07104610555415,5.3564305676315346e-05,0.9229184151378128,0.03177607543315598
-71.06718946815789,5.3601192518197785e-05,0.9217288627242445,0.031686018378549285
-71.06333080995917,5.363812365624959e-05,0.9205411580914432,0.03160160694708562
-71.05947013486674,5.367509926386568e-05,0.9193552997820348,0.03152266048067521
-71.05560744582603,5.3712120992956766e-05,0.9181712837926659,0.03144871657371338
-71.05174274069245,5.374918716535735e-05,0.9169891078774645,0.031379538189760886
-71.04787602294567,5.3786298169851083e-05,0.9158087693261224,0.03131485027645748
-71.04400729388135,5.382345412247008e-05,0.9146302654980949,0.031254398934906176
-71.04013655677491,5.386065508638682e-05,0.9134535935631872,0.03119792614371868
-71.03626381704068,5.389790100060434e-05,0.9122787508905336,0.03114520600893491
-71.03238907242876,5.3935191967316884e-05,0.9111057347835514,0.031096022982474023
-71.0285123250671,5.397252806507992e-05,0.9099345425680593,0.03105017383225249
-71.02463357743716,5.4009909308872154e-05,0.9087651715987678,0.03100746881656666
-71.02075283303616,5.404733573635558e-05,0.9075976191248564,0.030967720779669465
-71.01687009413122,5.408480742034581e-05,0.9064318819027751,0.03093072595988688
-71.0129853611639,5.412232441185956e-05,0.905267959077289,0.03089642969864785
-71.0090986341612,5.415988655201567e-05,0.90410584614818,0.030864572410630283
-71.00520991903466,5.4197494065628093e-05,0.9029455410786108,0.03083504833033298
-71.00131921692855,5.4235146960879174e-05,0.9017870412861724,0.03080772711215946
-70.99742652900328,5.427284522368349e-05,0.9006303440081205,0.0307824755476613
-70.99353185884416,5.4310588873782826e-05,0.8994754466176514,0.03075917542995552
-70.98963521114936,5.434837826003793e-05,0.8983223464826482,0.03073771438364624
-70.98573658318449,5.438621304461576e-05,0.8971710409415955,0.030717986150584273
-70.98183597820777,5.442409336331365e-05,0.8960215274382513,0.030699894101828395
-70.9779333992419,5.446201929918325e-05,0.8948738032420241,0.030683340095183417
-70.97402884953831,5.4499990909951e-05,0.8937278657581376,0.030668236762875632
-70.97012232977038,5.453800819275323e-05,0.8925837123331816,0.03065449974006688
-70.96621384006347,5.457607104560619e-05,0.8914413404209562,0.030642052497070103
-70.96230338512383,5.4614179657500346e-05,0.8903007473183454,0.030630818363302583
-70.95839096719695,5.465233409725637e-05,0.8891619304965924,0.03062073011184161
-70.95447658681235,5.4690534322805524e-05,0.8880248873522681,0.030611722236672485
-70.95056024557883,5.4728780264784955e-05,0.886889615156953,0.03060372880007038
-70.9466419473383,5.47670718882825e-05,0.8857561113790846,0.0305966933026815
-70.94272170683277,5.4805410486371315e-05,0.8846243733972692,0.030590559985146495
-70.93879950648157,5.4843794385500336e-05,0.8834943986730754,0.03058527852106293
-70.93487535541381,5.488222433736969e-05,0.8823661845183022,0.03058079823470008
-70.93094925556105,5.4920700303996836e-05,0.8812397283856459,0.030577073923208686
-70.92702120942809,5.495922238665794e-05,0.8801150278892542,0.030574065937764742
-70.92309121757441,5.4997790680043454e-05,0.8789920803990928,0.030571732743663985
-70.91915928562432,5.503640515669836e-05,0.8778708830430388,0.03057002867511948
-70.91522542546193,5.5075065473099e-05,0.876751433400941,0.030568921116784036
-70.91128961949543,5.511377219921151e-05,0.8756337289258229,0.030568376562877676
-70.90735188058275,5.515252520923387e-05,0.874517767045955,0.0305683627222262
-70.9034122087045,5.5191324530973676e-05,0.8734035452340372,0.03056884967239548
-70.89947060594999,5.523017018196212e-05,0.8722910609882188,0.03056980957914798
-70.89552707480304,5.526906216498506e-05,0.8711803116238935,0.030571213717670135
-70.89158161921753,5.530800046863893e-05,0.8700712946529098,0.030573037466834284
-70.88763424259,5.534698513766982e-05,0.8689640075335154,0.030575257042324736
-70.88368494482259,5.538601647870157e-05,0.8678584477286291,0.03057785107250606
-70.87973372779105,5.5425094649440804e-05,0.8667546126971446,0.030580796762981248
-70.87578059430301,5.546421932957602e-05,0.8656524999113628,0.030584075758497097
-70.87182554636706,5.550339053238533e-05,0.8645521068348941,0.03058766683119854
-70.86786858673618,5.554260834316551e-05,0.8634534309501508,0.030591554570962555
-70.86390971768027,5.558187276089636e-05,0.8623564697290085,0.030595720255519467
-70.859948941586,5.562118386208322e-05,0.8612612206558551,0.030600148737989247
-70.85598626083375,5.566054171210154e-05,0.8601676812144474,0.030604824653856402
-70.8520216776541,5.569994633004611e-05,0.8590758489019629,0.030609735615095012
-70.84805519441389,5.573939777736684e-05,0.8579857212034099,0.030614866537064588
-70.84408681341904,5.5778896128272614e-05,0.8568972956147396,0.030620205049371525
-70.84011653702137,5.581844132812843e-05,0.8558105696374393,0.03062573864607031
-70.83614436750396,5.5858033477585856e-05,0.8547255407783653,0.030631457674412443
-70.83217030715831,5.5897672641480835e-05,0.8536422065498557,0.03063735332465489
-70.82819435845667,5.593735878627205e-05,0.8525605644578511,0.030643412977839884
-70.8242165237053,5.5977091975721394e-05,0.8514806120234706,0.030649629534973865
-70.82023680526159,5.601687224831714e-05,0.8504023467694962,0.03065599557310712
-70.81625520552265,5.60566996334417e-05,0.8493257662148488,0.030662500849012234
-70.8122717268714,5.6096574165338375e-05,0.848250867888565,0.030669138526115254
-70.80828637170339,5.6136495876714e-05,0.8471776493224473,0.03067590189814907
-70.80429914237585,5.6176464811991995e-05,0.846106108049812,0.03068278329478444
-70.80031004128338,5.6216481007556124e-05,0.8450362416086327,0.030689776324023383
-70.79631907082589,5.625654450009159e-05,0.8439680475404281,0.030696875028664607
-70.79232623338879,5.629665532504475e-05,0.8429015233911424,0.030704073379530763
-70.78833153136974,5.6336813520234024e-05,0.8418366667096024,0.030711365953757952
-70.78433496717136,5.637701912424109e-05,0.8407734750480805,0.030718747754123577
-70.78033654320639,5.6417272173714866e-05,0.839711945962939,0.030726213969031527
-70.77633626191563,5.645757270079369e-05,0.8386520770150135,0.030733759791214715
-70.77233412571152,5.649792074407667e-05,0.8375938657676262,0.030741381262937153
-70.76833013702407,5.65383163396892e-05,0.8365373097882034,0.030749074587706912
-70.76432429827784,5.657875952418151e-05,0.8354824066478984,0.0307568355347596
-70.76031661190987,5.661925033361791e-05,0.8344291539215164,0.03076466070380582
-70.75630708036275,5.66597888039297e-05,0.8333775491875429,0.030772547034909493
-70.75229570608694,5.6700374970836915e-05,0.8323275900279918,0.030780491392579778
-70.74828249154882,5.6741008869499534e-05,0.831279274028175,0.030788490330106208
-70.74426743920489,5.678169053559767e-05,0.8302325987775907,0.030796541452060483
-70.74025055152315,5.6822420004436455e-05,0.8291875618691872,0.030804642285230468
-70.73623183095866,5.68631973141607e-05,0.8281441608990683,0.03081278996426899
-70.73221127998373,5.690402250097358e-05,0.8271023934672784,0.030820982214581908
-70.72818890107794,5.6944895600709455e-05,0.8260622571775442,0.0308292170290043
-70.72416469672554,5.6985816649156845e-05,0.8250237496369959,0.030837492296575918
-70.72013866942318,5.702678568075477e-05,0.8239868684561844,0.030845805804038732
-70.71611082166068,5.7067802732065214e-05,0.8229516112495422,0.03085415591558431
-70.71208115593781,5.7108867838725906e-05,0.8219179756349412,0.030862540925988106
-70.7080496747592,5.714998103635612e-05,0.820885959233799,0.03087095921810571
-70.70401638063016,5.719114236108208e-05,0.8198555596711619,0.03087940928988371
-70.69998127606382,5.723235184866836e-05,0.818826774575507,0.03088788965085244
-70.69594436357625,5.7273609535120245e-05,0.8177996015788417,0.030896398856345868
-70.69190564568656,5.731491545667812e-05,0.8167740383166796,0.030904935484796506
-70.68786512492575,5.7356269648416454e-05,0.8157500824282158,0.030913498419433513
-70.68382280383501,5.739767214449866e-05,0.814727731556285,0.030922086785916587
-70.67977868494377,5.743912298169526e-05,0.8137069833468691,0.030930699190901693
-70.67573277079235,5.748062219575413e-05,0.812687835449592,0.030939334491867202
-70.6716850639251,5.7522169822484555e-05,0.8116702855175632,0.030947991557684393
-70.66763556690788,5.756376589573196e-05,0.8106543312078015,0.03095667007156299
-70.66358428229165,5.760541045160941e-05,0.8096399701803331,0.030965368837556125
-70.65953121263935,5.764710352537514e-05,0.8086272000988474,0.03097408702129584
