V,n,s,Ca
-60.029663412056635,0.4993111753623906,1.0606948105641103,0.0455509113564664
-73.55418823422856,0.1114362575555608,1.059284879645765,0.044593285836743525
-72.6003510293075,0.02489267058383662,1.0578595271016007,0.043564542037122136
-71.92114233983276,0.005588268736463472,1.0564490210718027,0.042690215388661634
-71.6043870711936,0.0012840152944249695,1.0550482893813922,0.04192307604069247
-71.48642604304584,0.00032489548658590326,1.0536529505230028,0.04122428114390977
-71.44632838486793,0.0001113409707535534,1.0522608846320056,0.040574188743742384
-71.43183543181071,6.384557890537972e-05,1.0508713128120464,0.03996426098868233
-71.4249806661603,5.331143301909858e-05,1.0494839864948293,0.03939038446339092
-71.4202764890898,5.099782045060195e-05,1.0480988309958925,0.038849970125028103
-71.41615552620442,5.051193109906006e-05,1.0467158233016387,0.03834095978557152
-71.41218767450381,5.043180384611253e-05,1.0453349549121935,0.03786152034530539
-71.4082578152562,5.04413629245929e-05,1.0439562212713434,0.037409952704666086
-71.40433566964532,5.0470697835205524e-05,1.0425796188750847,0.036984662587752605
-71.40041351035732,5.050481892598277e-05,1.0412051445002515,0.036584148530598735
-71.39648924677044,5.053993557316091e-05,1.0398327949968957,0.036206995513434745
-71.39256235315365,5.0575329658008136e-05,1.0384625672388745,0.035851869476241804
-71.38863269097355,5.06108048511952e-05,1.0370944581094266,0.035517512678609
-71.38470022966743,5.064632206014267e-05,1.0357284644978346,0.03520273940368481
-71.38076497922938,5.068173990390198e-05,1.0343645832983346,0.034906430004834656
-71.37682700382605,5.0716872299366596e-05,1.0330028114105978,0.03462753031903552
-71.37288601740362,5.075309836690987e-05,1.0316431457357798,0.03436504962112568
-71.36894231982608,5.0788957054980956e-05,1.0302855831849012,0.034118048287494866
-71.36499583352386,5.0824757641939414e-05,1.0289301206701797,0.033885642702390945
-71.36104654088462,5.086059886684073e-05,1.027576755087246,0.03366699408241692
-71.35709444507081,5.089648718161512e-05,1.0262254834415088,0.03346133927532621
-71.35313955118383,5.093242114237162e-05,1.0248763025598375,0.033267910122582484
-71.34918185725373,5.096840808519685e-05,1.0235292094129635,0.03308601962812915
-71.34522135553257,5.1004456513430257e-05,1.022184200936529,0.03291500526812044
-71.34125803995057,5.104056433204456e-05,1.020841274071596,0.03275424817097868
-71.3372919036629,5.107672570713347e-05,1.0195004257634832,0.03260316292955232
-71.33332293919325,5.111292286609952e-05,1.0181616529620838,0.032461196811686244
-71.32935122399445,5.1149138417061566e-05,1.0168249526232198,0.03232783283807842
-71.32537686802401,5.118542860619283e-05,1.0154903217072242,0.03220257862367196
-71.32139963585018,5.122177347891191e-05,1.0141577571753244,0.032084970900565876
-71.31741956262607,5.125817105481966e-05,1.0128272559941014,0.03197457302961467
-71.31343670328147,5.1294621010243955e-05,1.0114988151256554,0.03187097228008454
-71.30945105306414,5.133112257126023e-05,1.0101724316150666,0.03177379006144833
-71.30546261151278,5.136767538447945e-05,1.0088481023526832,0.03168264790811776
-71.30147138435954,5.140427985397538e-05,1.0075258243630758,0.0315972059603186
-71.29747737593571,5.144093681730061e-05,1.00620559463749,0.031517139126013415
-71.29348058071518,5.147764621989696e-05,1.0048874101715803,0.031442140709753236
-71.28948098860947,5.151440653201497e-05,1.0035712679655304,0.03137192179023559
-71.28547860951343,5.155121742654626e-05,1.0022571645618934,0.031306171161207146
-71.28147345573016,5.1588079291671124e-05,1.0009450983569472,0.031244747830858555
-71.27746552794788,5.1624996902301905e-05,0.9996350649451848,0.031187290577495284
-71.27345481383327,5.166196530697639e-05,0.9983270618550093,0.031133614003320365
-71.2694413179895,5.169898558577206e-05,0.9970210861039195,0.031083502868324214
-71.26542503998117,5.17360580089391e-05,0.9957171347861798,0.03103675834072226
-71.26140598072772,5.17731826740849e-05,0.9944152047873754,0.030993178217326903
-71.25738416021726,5.1810359664256447e-05,0.9931152932126163,0.030952585324316956
-71.25335956114138,5.184758895528696e-05,0.9918173970944739,0.030914810435460873
-71.24933218494007,5.188487075255063e-05,0.9905215134903236,0.030879693890661346
-71.2453020344223,5.192220504564647e-05,0.9892276394893682,0.030847086510901595
-71.24126911549051,5.1959591972336136e-05,0.9879357720647338,0.030816841046183464
-71.23723342812272,5.199703171058316e-05,0.9866459076473756,0.030788797007686906
-71.23319497294202,5.2034524411431025e-05,0.9853580452962397,0.03076291135243307
-71.22915373184749,5.207206909394546e-05,0.9840721800594331,0.03073897938557711
-71.2251097309419,5.2109666879648114e-05,0.9827883096959945,0.03071691758743205
-71.22106296616704,5.2147317660927857e-05,0.9815064313644433,0.030696622989966706
-71.21701343454474,5.2185021314367435e-05,0.9802265420249099,0.030677990298792993
-71.21296113735023,5.2222777824166434e-05,0.9789486387871456,0.030660925990185713
-71.20890609040158,5.226058816301617e-05,0.9776727187552159,0.030645341090486222
-71.2048482762475,5.229845132509436e-05,0.9763987790006293,0.030631151392338782
-71.20078770074201,5.233636765504919e-05,0.9751268167109124,0.030618280264601557
-71.19672436747759,5.237433734725393e-05,0.9738568288817726,0.03060664982316935
-71.19265827917259,5.2412360520292783e-05,0.972588812658366,0.030596190672886235
-71.18858943359949,5.2450437090382484e-05,0.9713227651213497,0.030586835751311308
-71.18451782720442,5.2488566772092816e-05,0.9700586834693553,0.03057852417841754
-71.18044346837667,5.252675007255519e-05,0.9687965647284729,0.030571194915076115
-71.17636635844187,5.256498711340206e-05,0.9675364061166122,0.030564794393552728
-71.17228649578254,5.2603277793063845e-05,0.9662782047695491,0.03055927037876892
-71.16820387974458,5.264162198872747e-05,0.9650219576855675,0.030554570263642916
-71.16411851250542,5.2680019644169365e-05,0.9637676620795644,0.030550648921566906
-71.16003042042342,5.271847288582012e-05,0.9625153150677592,0.030547461788471203
-71.15593956838327,5.2756978976876704e-05,0.9612649138574231,0.030544968602995052
-71.15184597121883,5.279553915801734e-05,0.9600164554912913,0.030543128799212952
-71.14774962936022,5.2834153366819105e-05,0.9587699371670669,0.03054190616221303
-71.14365054494371,5.28728217703965e-05,0.9575253562601099,0.030541268899290257
-71.13954871793851,5.291154452539373e-05,0.9562827098771912,0.03054118368264364
-71.13544415247144,5.295032157757371e-05,0.9550419948587399,0.03054161387321504
-71.1313368572818,5.298915234065582e-05,0.9538032085424255,0.03054253324147013
-71.12722681710893,5.302803793293067e-05,0.9525663481265548,0.03054391483469494
-71.12311404304612,5.3066977927321576e-05,0.9513314107821119,0.030545732662120205
-71.11899853401223,5.310597247807097e-05,0.9500983937290243,0.03054796262053422
-71.1148802911708,5.314502161272854e-05,0.9488672942152425,0.03055058227025186
-71.11075931591665,5.318412535756493e-05,0.9476381092877048,0.030553568441715886
-71.10663561117545,5.322328372163513e-05,0.9464108362094839,0.030556901254331335
-71.10250917978279,5.3262496763137616e-05,0.9451854721847297,0.030560561488828127
-71.09838002096784,5.330176487737945e-05,0.9439620144227945,0.030564531851549375
-71.09424813598825,5.3341088268346194e-05,0.9427404601285658,0.030568793913244376
-71.09011352612117,5.338046658342147e-05,0.9415208065217703,0.030573332790526687
-71.08597619244728,5.3419899860184676e-05,0.9403030508125163,0.030578131305414372
-71.08183613684719,5.345938822243014e-05,0.9390871902317449,0.03058317693117776
-71.07769336062033,5.349893169167922e-05,0.9378732219987211,0.03058845449354561
-71.07354786533118,5.35385303802207e-05,0.9366611433465766,0.030593951679785965
-71.06939965251618,5.357818438732915e-05,0.9354509515077424,0.030599656003341094
-71.06524872350975,5.3617893757524395e-05,0.9342426437295205,0.030605557368414103
-71.06109507983066,5.365765858543238e-05,0.933036217245729,0.03061164351321772
-71.05693872298386,5.3697478980241033e-05,0.9318316693023123,0.03061790435242212
-71.05277965424119,5.373735490157319e-05,0.9306289971513446,0.030624329707803224
-71.04861787515065,5.377728648937622e-05,0.9294281980508546,0.030630911672942577
-71.04445338719388,5.3817273842042775e-05,0.9282292692649432,0.030637643022762624
-71.04028619179006,5.385731694450147e-05,0.9270322080506208,0.03064451349904539
-71.03611629043537,5.389741589408678e-05,0.9258370116817181,0.030651517252925305
-71.0319436846157,5.39375707590512e-05,0.9246436774339083,0.03065864818281385
