V,n,s,Ca
-69.49184353154419,0.45660526453283445,0.9398166901907719,0.04892534701481391
-73.32370092457663,0.1019025681360481,0.9385690636703721,0.04773661938010765
-72.13573454040137,0.022767671180382962,0.9373298198110755,0.046670160075162066
-71.25525036067422,0.005118014907700824,0.9361090097361678,0.045797002058414304
-70.80785876673578,0.0011844542107935095,0.9349008408704998,0.04505941300458255
-70.62422757738445,0.0003089104839330662,0.9336996192741231,0.04440450451822071
-70.55620128620576,0.00011439759572877074,0.9325022330901328,0.04380303202662036
-70.53083302931796,7.13084924412459e-05,0.9313073946895936,0.04324183265283077
-70.51973217488589,6.18195688637167e-05,0.9301146442120592,0.042715013291786105
-70.51312454196363,5.976700056251607e-05,0.9289238295976685,0.04221943809166517
-70.50787702964263,5.935570388926898e-05,0.9277349018129085,0.04175296007501385
-70.50302907762008,5.930495636175679e-05,0.9265478442502935,0.041313809630540016
-70.49829467130904,5.933273684610277e-05,0.9253626501237576,0.04090039540568109
-70.49359034733769,5.937750248766431e-05,0.9241793155495067,0.0405112396702363
-70.48889248214535,5.9426317877603685e-05,0.9229978374937321,0.040144955423322554
-70.48419418843432,5.947596291854162e-05,0.9218182131608236,0.03980023683894202
-70.4794935312389,5.9525857808808425e-05,0.9206404398284497,0.03947585317121553
-70.47478996660635,5.9575846278158836e-05,0.9194645147976003,0.039170644159926125
-70.47008334216738,5.962589986233345e-05,0.9182904353788041,0.038883515979958615
-70.46537367175088,5.967588908357132e-05,0.9171181988887234,0.03861343573346216
-70.46066110587995,5.972563908759517e-05,0.9159478026500858,0.03835943090787388
-70.45594500284759,5.977643303992975e-05,0.9147792439797173,0.038120587418128994
-70.45122594845766,5.982691643152886e-05,0.9136125202136748,0.03789603838892271
-70.44650383739537,5.987737432748997e-05,0.9124476286835014,0.03768496853966964
-70.44177863457628,5.9927898244164966e-05,0.9112845667067975,0.03748660392941772
-70.43705033675846,5.997849446321117e-05,0.9101233316962547,0.03730024037705706
-70.43231894458853,6.002916184029506e-05,0.9089639209103622,0.03712516905917513
-70.42758445726592,6.007990710906288e-05,0.9078063317319656,0.03696075601936605
-70.42284687351639,6.01307380786402e-05,0.9066505615136541,0.03680638986566002
-70.41810619639902,6.0181653197057185e-05,0.9054966076127607,0.036661499465831554
-70.41336243161746,6.023264782204366e-05,0.9043444673903535,0.036525544551951394
-70.40861559374001,6.028370772731427e-05,0.9031941382115809,0.03639801499472817
-70.40386567209349,6.033481396406146e-05,0.9020456174456934,0.036278433632576504
-70.39911260344691,6.038600749376446e-05,0.9008989024649374,0.036166345983626544
-70.3943564692424,6.0437285392409396e-05,0.8997539906470993,0.036061324464444725
-70.38959726665078,6.048864504158686e-05,0.8986108793712357,0.03596296602702408
-70.38483497436623,6.0540081671713175e-05,0.8974695660121687,0.03587088967502774
-70.38006959703056,6.059159542590996e-05,0.896330048017248,0.03578474592085316
-70.37530113915493,6.064318654099061e-05,0.8951923227001302,0.035704185380581836
-70.3705296018474,6.069485507148909e-05,0.8940563874903499,0.03562889429607274
-70.36575498106608,6.0746600866862265e-05,0.8929222397886227,0.035558572531747434
-70.36097727380633,6.079842381805112e-05,0.8917898769995999,0.03549293692713679
-70.35619648488225,6.08503242780593e-05,0.8906592965320019,0.03543172072331116
-70.3514126258726,6.0902303020497346e-05,0.8895304953991229,0.03537463657245137
-70.34662570340947,6.095436050932462e-05,0.888403472215533,0.03532155428925598
-70.3418356947973,6.1006494941436026e-05,0.8872782231752668,0.03527214032244062
-70.33704261211247,6.105870762309262e-05,0.8861547461435479,0.03522622347002299
-70.3322464565644,6.111099853904934e-05,0.8850330385439545,0.035183604965051685
-70.32744722604654,6.116336760069683e-05,0.8839130978664098,0.03514410118699159
-70.32264491985582,6.121581470880826e-05,0.8827949214206052,0.03510752539589518
-70.3178395628898,6.126834149655896e-05,0.8816785067059858,0.03507371396165419
-70.31303113452205,6.132094677117402e-05,0.8805638511591916,0.03504251058590695
-70.30821963592078,6.137363061043187e-05,0.8794509522383779,0.03501376780182158
-70.30340506938862,6.142639321898652e-05,0.878339807429215,0.034987347818307035
-70.29858744145943,6.147923501087599e-05,0.877230414117143,0.03496311462182022
-70.29376675397513,6.153215612440897e-05,0.8761227692193091,0.034940919962947424
-70.28894300793056,6.158515666185783e-05,0.87501687192285,0.03492072408160661
-70.2841161813894,6.16382353007704e-05,0.8739127179503997,0.034902337883062115
